model,aic,r_squared,dev_explained,gcv_score,edf,n_terms,fitting_time,delta_aic,aic_weight
full,185734203.2,0.213057254,0.245983465,63285837.96,248.1799123,350,293.4064982,0,1
climate,189335788.4,0.158102662,0.18267782,63579840.28,117.9785886,119,110.7136735,3601585.2,0
habitat,189780469.5,0.143122738,0.177861,63522552.6,173.4894926,238,143.5360244,4046266.27,0
drought,196257905.1,0.040302399,0.050058575,64017600.44,36.99461754,38,54.08989617,10523701.84,0
null,198690174.2,0,4.56002008836746e-14,101721012.2,1,1,18.05819221,12955971,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Model,AIC,_AIC,Deviance Explained,Rank,,,,,
Full,185734203,0,0.246,1,,,,,
Climate,189335788,3601585,0.183,2,,,,,
Habitat,189780469,4046266,0.179,3,,,,,
Drought,196257905,10523701,0.05,4,,,,,
Null,198690174,12955971,0,5,,,,,
