model,aic,r_squared,dev_explained,gcv_score,edf,n_terms,fitting_time,delta_aic,aic_weight
full,143775883,0.186482247,0.227733043,64950236.78,263.3416381,359,225.7620868,0,1
climate,145217829.6,0.163663573,0.202873967,65204680,117.9689012,119,87.37681913,1441946.643,0
habitat,148809303.4,0.098446898,0.139119398,65909957.57,184.8201456,247,118.6114326,5033420.452,0
drought,153930679.5,0.034554107,0.043214236,66724687.55,36.99708386,38,41.82960957,10154796.5,0
null,156146974.2,0,1.61657557305039e-15,83809309.77,1,1,14.36483899,12371091.17,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Model,AIC,Delta AIC,Deviance Explained,Rank,,,,,
Full,143775883,0,0.228,1,,,,,
Climate,145217830,1441947,0.203,2,,,,,
Habitat,148809303,5033420,0.139,3,,,,,
Drought,153930679,10154796,0.043,4,,,,,
Null,156146974,12371091,0,5,,,,,
